Customer ID,Product Category,Satisfaction Score,Days for Delivery,Customer Service Interaction,Purchase Amount,Customer Age,Gender
CUST0556,Books,9.0,,yes,75.36,51.0,Male
CUST0818,Home Goods,8.0,,nan,190.33,41.0,Female
CUST0811,Home Goods,7.0,,Y,120.1,21.0,Female
CUST0145,Books,8.0,5.0,Yes,23.97,35.0,Male
CUST0186,,10.0,2.0,yes,124.37,50.0,M
CUST0037,Books,7.0,4.0,,102.82,45.0,M
CUST0750,Clothing,9.0,4.0,N,157.53,30.0,
CUST0135,Home Goods,4.0,7.0,no,121.17,27.0,F
CUST0767,Electronics,6.0,5.0,no,126.55,17.0,M
CUST0984,Electronics,5.0,7.0,N,,28.0,Other
CUST0772,Electronics,12.0,,No,11.03,26.0,Other
,Electronics,7.0,6.0,Yes,89.81,38.0,Prefer not to say
CUST0773,Electronics,9.0,8.0,N,164.51,60.0,M
CUST0197,Clothing,8.0,3.0,yes,46.54,23.0,Prefer not to say
CUST0606,Home Goods,3.0,7.0,Yes,83.07,44.0,Male
CUST0833,Home Goods,5.0,9.0,Y,123.65,48.0,F
CUST0757,Clothing,7.0,5.0,No,127.99,24.0,Male
CUST0978,Books,5.0,,yes,44.6,54.0,Male
CUST0021,Clothing,5.0,2.0,No,179.55,,nan
CUST0245,Home Goods,4.0,,No,164.12,32.0,Male
CUST0803,Electronics,8.0,4.0,yes,149.49,41.0,F
CUST0016,Electronics,6.0,6.0,Yes,98.63,71.0,nan
CUST0316,Books,9.0,6.0,nan,,24.0,M
CUST0957,Books,8.0,6.0,Y,108.17,45.0,Prefer not to say
CUST0078,Books,7.0,3.0,yes,60.03,53.0,Prefer not to say
CUST0521,,4.0,2.0,,,48.0,F
CUST0643,Books,8.0,5.0,,55.13,38.0,Female
CUST0455,Electronics,7.0,5.0,nan,137.25,18.0,nan
CUST0486,Clothing,5.0,5.0,,140.45,69.0,F
CUST0165,Clothing,7.0,5.0,nan,124.22,59.0,nan
CUST0733,Electronics,7.0,0.0,nan,64.05,46.0,F
CUST0049,Clothing,10.0,5.0,N,171.46,47.0,
CUST0600,Clothing,5.0,6.0,No,72.59,9.0,
CUST0560,Clothing,5.0,4.0,No,123.63,38.0,Female
,Home Goods,4.0,6.0,Yes,34.19,10.0,Female
CUST0537,Books,7.0,3.0,N,89.79,40.0,Prefer not to say
CUST0128,Electronics,5.0,1.0,no,,58.0,Female
CUST0507,Books,9.0,4.0,Y,53.61,36.0,M
CUST0496,Home Goods,6.0,8.0,nan,41.08,40.0,M
CUST0263,Electronics,7.0,7.0,No,70.3,51.0,Prefer not to say
CUST0445,Books,4.0,6.0,Yes,60.39,29.0,F
CUST0741,Home Goods,8.0,3.0,N,123.98,55.0,nan
CUST0334,Home Goods,7.0,4.0,yes,155.77,49.0,F
CUST0591,Electronics,6.0,7.0,nan,,28.0,Female
CUST0147,Home Goods,7.0,6.0,N,2918.0,53.0,Prefer not to say
CUST0351,Books,8.0,3.0,nan,129.32,23.0,Male
CUST0622,Clothing,8.0,3.0,yes,105.98,34.0,Other
CUST0394,,8.0,,No,88.02,35.0,M
CUST0872,Books,8.0,4.0,No,85.72,67.0,Other
CUST0387,Home Goods,8.0,4.0,Y,181.11,40.0,
CUST0420,Clothing,6.0,2.0,Yes,113.84,5.0,Other
,Clothing,8.0,2.0,Y,139.29,13.0,M
CUST0251,Clothing,9.0,3.0,Y,0.0,21.0,
CUST0753,Clothing,8.0,3.0,Yes,139.59,61.0,
CUST0449,Home Goods,7.0,4.0,N,186.6,60.0,Prefer not to say
CUST0620,Home Goods,8.0,5.0,Yes,141.05,14.0,F
CUST0894,Electronics,6.0,6.0,no,140.37,41.0,Prefer not to say
CUST0639,Clothing,10.0,-1.0,Y,131.04,57.0,nan
CUST0262,Clothing,7.0,7.0,yes,74.64,28.0,F
CUST0902,Books,8.0,,nan,101.4,25.0,Female
CUST0398,Clothing,8.0,7.0,No,151.83,42.0,Other
CUST0010,Clothing,6.0,5.0,No,134.44,32.0,M
CUST0851,Home Goods,10.0,5.0,no,96.95,29.0,Female
CUST0238,Clothing,10.0,4.0,Yes,65.39,27.0,M
CUST0340,Books,7.0,7.0,nan,,46.0,F
CUST0991,Clothing,6.0,4.0,No,50.74,38.0,Female
,Electronics,7.0,2.0,Yes,,54.0,Female
CUST0177,Home Goods,9.0,0.0,yes,108.03,16.0,
CUST0800,Home Goods,9.0,8.0,Y,100.44,14.0,Female
CUST0422,Clothing,6.0,6.0,Y,62.11,26.0,Female
,Books,10.0,4.0,nan,162.74,59.0,Female
CUST0709,,8.0,7.0,Y,128.97,31.0,Female
CUST0926,Home Goods,9.0,9.0,,8440.0,30.0,Other
CUST0732,Electronics,7.0,3.0,Y,104.71,,Prefer not to say
CUST0614,Clothing,8.0,4.0,nan,108.85,,Male
CUST0285,Clothing,9.0,5.0,Yes,160.51,37.0,Male
CUST0794,Books,5.0,5.0,no,121.16,26.0,nan
CUST0260,Home Goods,6.0,6.0,no,117.22,19.0,Male
CUST0747,Home Goods,10.0,6.0,nan,76.31,55.0,Male
CUST0796,Home Goods,10.0,4.0,N,107.09,29.0,M
CUST0429,Electronics,9.0,4.0,,17091.0,46.0,Prefer not to say
CUST0417,Electronics,7.0,4.0,Yes,176.76,11.0,Prefer not to say
CUST0573,Electronics,8.0,7.0,yes,85.33,33.0,F
CUST0239,Home Goods,10.0,9.0,N,165.4,36.0,Male
CUST0473,Home Goods,6.0,6.0,yes,58.11,49.0,M
CUST0216,Electronics,5.0,8.0,nan,71.92,47.0,M
CUST0764,Clothing,,2.0,nan,,51.0,
CUST0746,Clothing,8.0,5.0,Yes,122.54,35.0,F
CUST0247,,7.0,4.0,Y,122.18,38.0,Male
CUST0477,Electronics,10.0,7.0,yes,117.25,41.0,Prefer not to say
CUST0126,Books,7.0,5.0,No,142.97,41.0,Male
CUST0989,Clothing,10.0,7.0,N,,32.0,Female
CUST0309,Books,8.0,5.0,Y,184.9,7.0,nan
CUST0776,Electronics,12.0,5.0,No,29.1,,M
CUST0367,Clothing,5.0,,yes,59.59,51.0,Other
CUST0775,Clothing,2.0,3.0,Y,74.93,45.0,Prefer not to say
CUST0545,,6.0,3.0,N,160.12,27.0,M
CUST0256,Home Goods,10.0,8.0,,76.2,47.0,Other
CUST0117,Electronics,4.0,3.0,,106.14,72.0,Other
CUST0430,Books,4.0,3.0,Yes,20.56,58.0,Male
CUST0626,Clothing,7.0,3.0,Y,49.39,23.0,Other
CUST0605,Home Goods,7.0,7.0,,0.0,19.0,Female
CUST0236,Books,8.0,2.0,No,95.72,36.0,Other
CUST0969,Clothing,6.0,7.0,yes,165.74,21.0,nan
CUST0771,Electronics,6.0,4.0,no,65.64,60.0,Female
CUST0405,,8.0,,,94.22,1.0,Other
,Books,5.0,8.0,yes,141.33,22.0,Female
CUST0918,Books,5.0,6.0,No,33.71,39.0,Prefer not to say
CUST0105,Clothing,7.0,4.0,N,74.89,44.0,M
CUST0958,Electronics,9.0,4.0,Yes,40.22,21.0,Female
CUST0737,Books,8.0,5.0,Yes,94.63,62.0,Other
CUST0400,Electronics,9.0,2.0,nan,112.24,38.0,nan
CUST0541,Home Goods,6.0,0.0,,88.92,,F
CUST0832,Electronics,8.0,5.0,N,115.74,23.0,Male
CUST0404,Electronics,4.0,8.0,N,158.03,31.0,Prefer not to say
CUST0793,Electronics,5.0,9.0,no,71.75,77.0,Male
CUST0515,Clothing,8.0,6.0,yes,108.63,27.0,M
CUST0824,Home Goods,10.0,5.0,no,110.58,38.0,Female
CUST0074,Clothing,5.0,,Y,151.92,33.0,Prefer not to say
CUST0858,Home Goods,5.0,2.0,yes,152.39,43.0,Male
CUST0601,Electronics,10.0,6.0,Y,73.09,46.0,nan
CUST0325,Clothing,7.0,7.0,no,,34.0,Prefer not to say
CUST0619,Home Goods,8.0,1.0,N,75.6,48.0,
CUST0582,Electronics,11.0,5.0,Y,128.68,11.0,Prefer not to say
CUST0423,Clothing,10.0,2.0,Yes,101.24,15.0,Prefer not to say
CUST0178,Home Goods,6.0,7.0,N,102.67,18.0,F
CUST0599,Books,7.0,7.0,no,74.14,51.0,Other
CUST0047,Books,6.0,7.0,nan,161.06,37.0,M
CUST0141,Books,4.0,9.0,nan,78.46,42.0,F
CUST0269,Home Goods,12.0,6.0,No,90.88,19.0,M
CUST0714,Books,8.0,7.0,Yes,109.24,36.0,Male
,Electronics,6.0,8.0,Yes,74.14,50.0,F
CUST0763,Electronics,10.0,5.0,yes,95.23,31.0,Female
CUST0935,Books,7.0,6.0,no,124.25,12.0,M
CUST0079,Home Goods,7.0,4.0,,58.99,42.0,Female
CUST0336,Books,4.0,4.0,yes,111.19,75.0,
CUST0781,Electronics,10.0,3.0,no,167.07,30.0,Prefer not to say
CUST0513,Home Goods,9.0,6.0,yes,199.64,41.0,Female
CUST0638,Home Goods,11.0,2.0,yes,71.69,22.0,Female
CUST0901,Electronics,3.0,7.0,nan,156.92,41.0,M
CUST0393,Books,7.0,4.0,Y,131.42,9.0,Prefer not to say
CUST0396,Books,4.0,5.0,yes,86.02,44.0,
CUST0653,Home Goods,7.0,5.0,yes,72.3,39.0,
CUST0172,Electronics,6.0,3.0,yes,19786.0,11.0,M
CUST0540,Clothing,4.0,3.0,no,77.99,43.0,Male
CUST0084,Books,6.0,6.0,N,114.92,48.0,
CUST0137,Electronics,6.0,5.0,nan,12.78,33.0,Prefer not to say
CUST0979,Books,9.0,4.0,Y,29.9,29.0,F
CUST0905,Home Goods,8.0,,nan,99.49,53.0,Other
CUST0837,Home Goods,8.0,6.0,No,118.07,25.0,F
CUST0444,Books,6.0,5.0,,157.09,68.0,Female
CUST0190,Clothing,3.0,5.0,no,157.19,33.0,
CUST0517,Books,7.0,7.0,Y,222.23,36.0,Male
CUST0363,Electronics,6.0,5.0,nan,136.45,30.0,Female
CUST0579,Clothing,7.0,6.0,N,163.46,28.0,M
CUST0093,Clothing,12.0,,Yes,143.26,48.0,nan
CUST0603,Books,7.0,4.0,,114.31,58.0,nan
,Books,7.0,7.0,Y,,48.0,Female
CUST0649,Books,6.0,7.0,nan,23.64,,Other
CUST0888,Clothing,,5.0,N,137.02,25.0,F
CUST0498,Books,9.0,4.0,No,,44.0,Other
CUST0082,Books,9.0,6.0,no,42.27,45.0,M
CUST0646,Electronics,4.0,3.0,yes,82.59,19.0,M
CUST0208,Books,8.0,7.0,No,150.91,,Female
CUST0434,Books,9.0,3.0,yes,69.05,25.0,Prefer not to say
CUST0527,Home Goods,7.0,6.0,Yes,104.04,44.0,Prefer not to say
CUST0974,,7.0,6.0,Y,83.45,32.0,Female
CUST0729,Electronics,7.0,6.0,yes,,17.0,Other
CUST0196,Clothing,6.0,7.0,No,85.56,68.0,nan
CUST0470,Books,6.0,4.0,No,36.48,26.0,Prefer not to say
CUST0992,Books,9.0,2.0,,170.25,,M
CUST0829,Home Goods,6.0,4.0,Yes,118.94,50.0,Prefer not to say
CUST0464,Electronics,6.0,6.0,Y,67.89,32.0,Female
CUST0812,Home Goods,8.0,5.0,No,63.9,67.0,Male
CUST0678,Books,4.0,5.0,yes,113.18,53.0,Female
CUST0617,Electronics,7.0,3.0,N,205.18,45.0,nan
CUST0411,Home Goods,7.0,4.0,nan,158.25,7.0,M
CUST0551,Electronics,5.0,6.0,N,64.66,33.0,
CUST0999,Books,8.0,5.0,nan,44.5,36.0,nan
CUST0157,,8.0,8.0,Yes,46.1,71.0,M
CUST0655,Clothing,10.0,4.0,yes,160.05,34.0,F
CUST0275,Electronics,6.0,8.0,nan,117.22,16.0,Prefer not to say
CUST0276,Books,6.0,5.0,Y,,34.0,Prefer not to say
CUST0307,Books,5.0,7.0,N,59.68,38.0,F
CUST0868,Clothing,8.0,5.0,Y,75.76,31.0,M
CUST0283,Clothing,2.0,7.0,nan,68.49,60.0,nan
CUST0792,Books,7.0,5.0,,135.86,38.0,Other
CUST0476,Books,4.0,7.0,N,111.94,59.0,Female
CUST0562,Home Goods,6.0,5.0,no,95.83,30.0,Prefer not to say
CUST0419,Books,6.0,1.0,no,81.12,34.0,nan
CUST0019,Books,6.0,7.0,yes,96.52,31.0,Female
CUST0346,Home Goods,5.0,4.0,No,,29.0,F
CUST0258,Clothing,4.0,6.0,Yes,,26.0,F
CUST0919,Books,8.0,9.0,nan,67.05,55.0,F
CUST0131,Books,8.0,,Yes,48.6,4.0,F
CUST0105,Clothing,7.0,4.0,N,74.89,44.0,M
CUST0593,Electronics,4.0,3.0,nan,22.78,37.0,Prefer not to say
CUST0305,Clothing,6.0,,Yes,91.4,31.0,Other
CUST0631,Electronics,6.0,4.0,Yes,0.0,28.0,nan
CUST0065,Home Goods,7.0,6.0,no,134.75,,Prefer not to say
CUST0928,Books,8.0,6.0,No,47.07,23.0,Female
CUST0885,Books,9.0,6.0,yes,107.47,35.0,F
CUST0683,Home Goods,6.0,8.0,yes,160.23,37.0,Male
CUST0588,Home Goods,6.0,,nan,125.27,30.0,Male
,Electronics,11.0,5.0,Yes,118.76,34.0,F
CUST0718,Books,7.0,7.0,Yes,78.06,40.0,F
CUST0820,Electronics,7.0,6.0,Y,,0.0,Male
CUST0913,Electronics,8.0,6.0,No,73.73,,Female
CUST0846,Electronics,4.0,7.0,N,63.52,37.0,F
CUST0148,Home Goods,5.0,5.0,Y,132.66,22.0,
CUST0443,Electronics,6.0,5.0,N,160.3,47.0,Other
CUST0982,Books,5.0,,N,45.78,57.0,F
CUST0506,Electronics,8.0,5.0,Y,65.7,0.0,Prefer not to say
CUST0652,Books,4.0,4.0,Yes,153.9,31.0,Other
CUST0064,Electronics,5.0,5.0,yes,109.79,,nan
CUST0460,Home Goods,,3.0,Y,117.49,37.0,
CUST0516,Home Goods,6.0,4.0,,,42.0,Prefer not to say
CUST0774,Books,6.0,6.0,Y,138.21,29.0,Male
CUST0098,Books,7.0,,No,44.13,40.0,Prefer not to say
CUST0899,Home Goods,5.0,4.0,Yes,195.22,44.0,Female
CUST0660,Clothing,9.0,7.0,yes,81.69,26.0,Other
CUST0952,Books,6.0,5.0,Yes,55.1,41.0,Female
CUST0032,Electronics,7.0,6.0,nan,,47.0,F
CUST0318,Electronics,4.0,7.0,Y,130.5,58.0,Female
CUST0290,Books,5.0,4.0,yes,72.56,34.0,Other
CUST0687,Clothing,7.0,5.0,Y,130.74,9.0,F
CUST0427,Electronics,10.0,8.0,no,104.96,47.0,M
CUST0908,Home Goods,9.0,3.0,No,18.72,16.0,F
CUST0566,Clothing,8.0,8.0,No,46.51,49.0,Prefer not to say
CUST0798,Home Goods,4.0,8.0,yes,161.49,75.0,Male
CUST0945,Electronics,10.0,4.0,nan,57.39,34.0,F
CUST0204,,5.0,5.0,,82.52,11.0,Other
CUST0641,Clothing,7.0,9.0,,29.8,27.0,
CUST0432,Clothing,9.0,4.0,N,70.24,26.0,
CUST0151,Home Goods,5.0,6.0,yes,121.48,44.0,F
CUST0925,Electronics,7.0,4.0,Yes,63.89,51.0,Other
CUST0611,Electronics,11.0,5.0,Y,,18.0,nan
CUST0034,Clothing,7.0,6.0,yes,144.34,33.0,Prefer not to say
CUST0418,Clothing,6.0,2.0,N,,17.0,Other
CUST0056,Books,7.0,7.0,yes,105.69,64.0,F
CUST0238,Clothing,10.0,4.0,Yes,65.39,27.0,M
CUST0301,Electronics,7.0,4.0,no,112.61,24.0,Female
CUST0514,Clothing,5.0,4.0,Y,61.04,23.0,Female
CUST0701,Clothing,,4.0,No,149.7,57.0,Male
CUST0959,Clothing,9.0,1.0,no,88.97,34.0,Female
CUST0338,Home Goods,8.0,6.0,No,8.7,31.0,M
CUST0491,Books,6.0,4.0,No,161.19,18.0,
CUST0508,Home Goods,9.0,5.0,N,88.03,30.0,F
CUST0339,Books,7.0,3.0,No,34.29,30.0,Other
CUST0657,Home Goods,9.0,4.0,Y,116.99,37.0,M
CUST0488,Books,6.0,7.0,yes,92.22,34.0,nan
CUST0136,Electronics,8.0,6.0,Y,204.04,43.0,nan
,Clothing,6.0,6.0,Y,,19.0,M
CUST0260,Home Goods,6.0,6.0,no,117.22,19.0,Male
CUST0910,Clothing,7.0,6.0,N,71.87,21.0,F
,Books,5.0,5.0,N,67.13,41.0,Other
CUST0755,Clothing,6.0,5.0,N,59.66,18.0,Male
CUST0448,Clothing,5.0,6.0,No,,25.0,
CUST0848,Clothing,12.0,7.0,no,84.85,49.0,nan
CUST0385,Electronics,8.0,5.0,Y,110.96,34.0,nan
CUST0287,Electronics,6.0,4.0,Y,70.46,31.0,
CUST0144,Books,5.0,3.0,nan,84.92,32.0,F
CUST0076,Clothing,7.0,3.0,yes,36.03,17.0,Female
CUST0856,Electronics,7.0,6.0,no,147.13,58.0,nan
,Books,11.0,6.0,nan,116.91,39.0,Male
CUST0185,Electronics,7.0,7.0,N,108.99,19.0,nan
CUST0503,Electronics,8.0,4.0,Yes,37.47,63.0,Other
CUST0234,Books,7.0,7.0,N,11.77,57.0,F
CUST0828,Clothing,9.0,4.0,,214.74,46.0,Prefer not to say
CUST0092,Books,8.0,6.0,nan,140.8,34.0,F
CUST0320,Clothing,8.0,5.0,nan,28.59,28.0,
CUST0944,Electronics,8.0,7.0,nan,55.46,,Female
CUST0091,Books,8.0,5.0,no,141.24,52.0,F
CUST0695,Clothing,6.0,5.0,Yes,190.48,33.0,M
CUST0530,Clothing,8.0,4.0,yes,,41.0,Prefer not to say
CUST0097,Clothing,4.0,8.0,Yes,131.77,30.0,M
,Books,,6.0,,44.09,26.0,F
CUST0362,Electronics,5.0,,Yes,61.71,37.0,Prefer not to say
CUST0686,Clothing,,7.0,Y,121.69,15.0,Other
CUST0520,,7.0,,no,174.52,34.0,Prefer not to say
CUST0673,Clothing,8.0,6.0,nan,0.0,50.0,Prefer not to say
CUST0705,Electronics,7.0,6.0,nan,55.44,45.0,F
CUST0322,Electronics,11.0,9.0,No,42.7,32.0,Male
CUST0408,Books,4.0,6.0,yes,43.12,43.0,M
CUST0108,Books,5.0,5.0,No,5.76,48.0,Female
CUST0081,Home Goods,8.0,8.0,N,76.58,58.0,nan
CUST0413,Clothing,7.0,7.0,Y,1.5,64.0,nan
CUST0182,Home Goods,5.0,6.0,Yes,64.67,30.0,M
CUST0040,Home Goods,10.0,1.0,,89.07,41.0,Other
CUST0483,Electronics,8.0,3.0,no,129.94,38.0,Male
,Electronics,9.0,6.0,nan,99.2,36.0,nan
CUST0539,Electronics,9.0,9.0,No,61.46,46.0,Female
CUST0790,Home Goods,6.0,9.0,No,70.65,55.0,Male
CUST0742,Clothing,5.0,7.0,yes,109.95,,nan
CUST0627,,11.0,3.0,N,60.53,27.0,nan
CUST0933,Electronics,6.0,4.0,Yes,,33.0,Male
CUST0898,Books,9.0,3.0,Yes,154.66,23.0,Male
CUST0233,Books,8.0,4.0,yes,,29.0,Prefer not to say
CUST0431,Electronics,8.0,1.0,nan,30.55,39.0,Female
CUST0373,Clothing,5.0,8.0,Y,89.55,73.0,F
CUST0949,Clothing,7.0,7.0,N,124.41,24.0,F
CUST0904,Home Goods,3.0,8.0,Yes,17521.0,23.0,F
,Books,7.0,4.0,N,77.31,65.0,Other
CUST0899,Home Goods,5.0,4.0,Yes,195.22,44.0,Female
CUST0597,Electronics,5.0,4.0,nan,,27.0,F
CUST0836,Books,8.0,4.0,yes,170.34,24.0,Female
CUST0280,Clothing,7.0,5.0,Yes,146.72,25.0,Female
CUST0610,Books,6.0,7.0,N,100.47,23.0,Male
CUST0348,Books,4.0,4.0,yes,114.77,44.0,Prefer not to say
CUST0333,Books,6.0,6.0,N,130.26,33.0,Prefer not to say
CUST0402,Books,8.0,3.0,Yes,107.62,44.0,Female
CUST0950,,6.0,6.0,Y,56.6,4.0,Female
CUST0153,Electronics,9.0,3.0,No,0.0,35.0,nan
CUST0315,Home Goods,,6.0,no,126.17,29.0,M
CUST0696,Books,6.0,6.0,no,26.29,31.0,Prefer not to say
CUST0195,Home Goods,,5.0,Yes,76.74,49.0,M
CUST0713,,9.0,2.0,N,146.81,38.0,M
CUST0326,Clothing,7.0,5.0,No,159.12,50.0,F
CUST0403,Home Goods,7.0,6.0,Yes,159.11,24.0,M
,Electronics,6.0,8.0,No,84.16,39.0,Female
CUST0023,Clothing,7.0,4.0,,97.76,41.0,Prefer not to say
CUST0122,Electronics,5.0,7.0,Y,162.57,13.0,nan
CUST0237,Clothing,,7.0,Yes,175.38,34.0,M
CUST0099,Clothing,5.0,5.0,no,14.63,17.0,Female
CUST0442,Books,6.0,8.0,Y,18.37,18.0,Prefer not to say
CUST0694,Books,9.0,4.0,yes,6940.000000000001,48.0,Male
CUST0437,Books,12.0,5.0,Yes,153.45,33.0,F
CUST0284,Home Goods,9.0,6.0,Yes,103.5,25.0,Male
CUST0934,Electronics,7.0,3.0,nan,115.98,4.0,M
CUST0155,Electronics,9.0,5.0,N,,33.0,Female
CUST0510,Clothing,8.0,4.0,No,14800.0,23.0,Prefer not to say
CUST0762,Clothing,4.0,3.0,yes,152.72,,Female
CUST0189,Home Goods,9.0,6.0,Yes,0.0,59.0,F
CUST0797,Electronics,9.0,5.0,N,43.28,31.0,Male
,Electronics,8.0,,nan,81.8,26.0,Male
CUST0198,Books,12.0,5.0,Y,,17.0,Male
CUST0183,Clothing,3.0,2.0,Yes,113.33,39.0,nan
CUST0635,Clothing,8.0,5.0,yes,54.2,16.0,Prefer not to say
CUST0164,Books,6.0,7.0,N,34.93,26.0,Other
CUST0206,Electronics,6.0,-1.0,No,85.39,27.0,Female
CUST0875,Clothing,8.0,6.0,nan,144.83,36.0,Female
CUST0241,Clothing,5.0,4.0,Y,,36.0,F
CUST0138,Electronics,8.0,3.0,Yes,129.11,23.0,Other
CUST0039,Electronics,8.0,3.0,yes,159.98,58.0,Other
CUST0063,Electronics,6.0,,no,125.27,25.0,Male
CUST0938,Electronics,8.0,8.0,yes,104.25,57.0,
CUST0613,Books,6.0,5.0,yes,150.67,63.0,M
CUST0956,Home Goods,7.0,6.0,yes,165.03,31.0,Female
CUST0123,Clothing,7.0,5.0,yes,195.47,36.0,nan
CUST0623,Home Goods,9.0,6.0,nan,115.96,36.0,nan
CUST0946,Home Goods,9.0,5.0,,26.86,33.0,Other
CUST0355,Books,3.0,5.0,yes,145.08,9.0,
CUST0139,Home Goods,5.0,4.0,Y,96.7,24.0,Female
CUST0892,Home Goods,8.0,3.0,N,25.52,37.0,
CUST0409,Books,5.0,,Y,160.63,24.0,Male
CUST0685,Electronics,7.0,7.0,no,18.93,58.0,Other
CUST0041,,5.0,9.0,N,22.34,27.0,Female
CUST0839,Books,7.0,,nan,88.95,16.0,M
,Books,4.0,6.0,N,48.75,59.0,Prefer not to say
CUST0625,,10.0,2.0,nan,83.31,43.0,Female
CUST0682,Electronics,9.0,5.0,No,11693.0,37.0,Prefer not to say
CUST0294,Clothing,10.0,4.0,N,61.25,42.0,Male
,Electronics,6.0,5.0,no,114.36,21.0,M
CUST0061,Home Goods,8.0,4.0,Yes,64.86,39.0,nan
CUST0386,Books,6.0,8.0,Y,103.86,58.0,Male
CUST0142,Electronics,7.0,8.0,no,92.7,9.0,Female
CUST0915,Books,6.0,7.0,no,46.81,42.0,Prefer not to say
CUST0278,Clothing,6.0,4.0,N,117.05,,M
CUST0511,,7.0,4.0,no,179.17,41.0,nan
CUST0242,Home Goods,7.0,8.0,Y,7628.0,22.0,Male
CUST0702,Books,7.0,5.0,nan,54.59,14.0,Male
CUST0636,Clothing,6.0,6.0,,156.71,45.0,Other
,Electronics,7.0,5.0,yes,123.08,35.0,Prefer not to say
CUST0963,Clothing,4.0,6.0,N,93.29,14.0,Female
CUST0505,Home Goods,9.0,6.0,No,0.0,,Prefer not to say
CUST0096,Clothing,5.0,4.0,yes,134.95,33.0,Female
CUST0528,Clothing,10.0,6.0,nan,65.95,33.0,Prefer not to say
CUST0355,Books,3.0,5.0,yes,145.08,9.0,
CUST0589,Books,6.0,,N,155.15,16.0,F
CUST0860,Home Goods,5.0,5.0,Y,101.22,27.0,F
CUST0254,,4.0,3.0,yes,83.08,47.0,nan
CUST0011,Home Goods,4.0,2.0,No,92.91,45.0,Other
